"drawNumber","drawDate","nextDrawDate","ball1","ball2","ball3","ball4","ball5","div1Winners","div1Payout","div2Winners","div2Payout","div3Winners","div3Payout","div4Winners","div4Payout","totalPrizePool","totalSales","estimatedJackpot","guaranteedJackpot","numWinners","millionairs"
16,2019-03-25,2019-03-26,10,11,12,19,23,1,358283.6,243,339.6,8739,18.9,85836,4.7,1009402.7,2012829,0,0,94819,1
17,2019-03-26,2019-03-27,2,9,13,30,32,0,0,253,2039.8,8435,22.9,88302,5.3,1177231.5,2356431,0,0,96990,0
18,2019-03-27,2019-03-28,4,5,10,12,25,2,208965.7,304,316.6,10548,18.3,98766,4.7,1171406.4,2347929,0,0,109620,2
19,2019-03-28,2019-03-29,7,20,30,31,34,2,208807.3,330,291.5,9755,19.7,92931,5,1170638.1,2346150,0,0,103018,2
20,2019-03-29,2019-03-30,1,5,6,27,31,1,473093.1,262,415.9,9391,23.2,101735,5.2,1328952.1,2657826,0,0,111389,1
21,2019-03-30,2019-03-31,16,17,24,25,30,1,4e+05,234,384.3,7629,23.5,83474,5.3,1111619.9,2192988,0,0,91338,1
22,2019-03-31,2019-04-01,1,15,23,32,34,1,205624.2,107,442.6,3931,24.2,42360,5.4,576856.6,1155192,0,0,46399,1
23,2019-04-01,2019-04-02,3,10,23,25,36,1,409835.9,304,310.5,9511,19.8,94909,4.8,1148108.9,2302449,0,0,104725,1
24,2019-04-02,2019-04-03,5,21,22,26,32,0,0,295,2063.8,10576,21.6,107087,5.2,1394115,2779944,0,0,117958,0
25,2019-04-03,2019-04-04,8,14,16,33,34,3,161391.5,360,309.8,10906,20.4,106290,5.1,1360263.9,2720082,0,0,117559,3
26,2019-04-04,2019-04-05,1,3,10,16,36,4,120144,413,268,12744,17.4,109782,4.9,1350937.4,2699865,0,0,122943,4
27,2019-04-05,2019-04-06,36,35,27,15,13,2,250539.5,360,320.6,10725,21.5,109943,5.1,1407791.8,2815050,0,0,121030,2
28,2019-04-06,2019-04-07,17,24,36,25,4,0,0,311,1633.4,9582,19.9,93995,4.9,1159244.7,2319507,0,0,103888,0
29,2019-04-07,2019-04-08,20,35,23,6,34,2,106828,157,313.4,4735,20.8,46602,5.1,599018,1200315,0,0,51496,2
30,2019-04-08,2019-04-09,15,13,11,19,31,5,83098.2,416,230,10383,18.4,96297,4.8,1164443.8,2334219,0,0,107101,5
31,2019-04-09,2019-04-10,16,31,6,24,30,2,233590.6,364,295.7,10137,21.3,97670,5.3,1308385.1,2624613,0,0,108173,2
32,2019-04-10,2019-04-11,24,5,10,15,29,3,145910,354,284.8,10340,19.5,96612,5.1,1232900.4,2459157,0,0,107309,3
33,2019-04-11,2019-04-12,1,29,14,19,7,1,435727.4,349,287.6,10559,19,98806,4.9,1220870.2,2447907,0,0,109715,1
34,2019-04-12,2019-04-13,4,8,19,36,34,6,80528.4,502,221.7,12999,17.1,116449,4.7,1364057,2714442,0,0,129956,6
35,2019-04-13,2019-04-14,30,5,34,33,18,1,4e+05,268,341.7,8627,21.2,89869,4.9,1114826.1,2233644,0,0,98765,1
36,2019-04-14,2019-04-15,3,26,24,17,23,0,0,115,2170.1,4479,20.9,45542,5,570882.6,1139589,0,0,50136,0
37,2019-04-15,2019-04-16,19,5,28,33,4,1,416820.6,289,332.2,9750,19.7,96598,4.8,1168571.8,2341689,0,0,106638,1
38,2019-04-16,2019-04-17,17,2,27,7,24,6,77448.6,477,224.4,12136,17.6,107069,4.9,1309962.1,2610627,0,0,119688,6
39,2019-04-17,2019-04-18,32,27,8,34,23,1,435635.6,364,275.7,9607,20.9,93092,5.2,1220855.1,2447391,0,0,103064,1
40,2019-04-18,2019-04-19,10,22,12,14,20,4,111884.2,457,225.5,10180,20.3,100059,5,1257539.3,2514252,0,0,110700,4
41,2019-04-19,2019-04-20,19,3,5,15,24,1,307939.2,276,257.1,8482,16.7,76497,4.5,864784.7,1729995,0,0,85256,1
42,2019-04-20,2019-04-21,36,3,24,30,6,3,126666.7,283,279.7,8226,19.3,78037,4.9,1000298.3,1930737,0,0,86549,3
43,2019-04-21,2019-04-22,9,29,7,2,1,1,191470.9,207,213,5212,16.9,45735,4.7,538599.2,1075680,0,0,51155,1
44,2019-04-22,2019-04-23,20,9,16,21,30,2,150000,180,328.5,5741,20.6,57358,5,764184.6,1442169,0,0,63281,2
45,2019-04-23,2019-04-24,2,35,36,11,8,1,4e+05,298,302.7,9047,19.9,90184,4.9,1112141.5,2199717,0,0,99530,1
46,2019-04-24,2019-04-25,19,24,12,18,8,1,410695.7,397,238.3,10793,17.5,97445,4.7,1152169.8,2307279,0,0,108636,1
47,2019-04-25,2019-04-26,28,19,4,14,33,4,119443,569,193.4,11378,19.4,108888,4.9,1342101,2684112,0,0,120839,4
48,2019-04-26,2019-04-27,33,28,23,1,34,3,180750.8,316,395.2,10559,23.6,115167,5.3,1526713.1,3046362,0,0,126045,3
49,2019-04-27,2019-04-28,21,29,18,28,13,2,219865.4,232,436.6,8737,23.2,90060,5.4,1230044.4,2470398,0,0,99031,2
50,2019-04-28,2019-04-29,18,26,30,34,32,0,0,161,1883.6,5268,21.6,51786,5.3,691514.2,1384770,0,0,57215,0
51,2019-04-29,2019-04-30,5,15,36,16,25,4,118546.4,498,219.3,12811,17.1,109744,4.8,1329236.3,2663964,0,0,123057,4
52,2019-04-30,2019-05-01,5,28,25,20,3,3,193573,355,376.8,12677,21.1,128916,5.1,1639439.3,3262467,0,0,141951,3
53,2019-05-01,2019-05-02,4,33,29,2,6,3,160373.9,371,298.7,11235,19.7,106053,5,1343533.9,2702931,0,0,117662,3
54,2019-05-02,2019-05-03,16,14,24,8,5,3,182411.4,466,270.5,13321,18.9,122243,5,1536269.1,3074349,0,0,136033,3
55,2019-05-03,2019-05-04,8,35,24,27,5,5,116880.4,454,296.5,14017,19.2,130751,5,1641894.4,3283158,0,0,145227,5
56,2019-05-04,2019-05-05,26,17,11,15,25,2,240055.5,333,332.1,11107,19.9,107798,5,1350719.6,2697252,0,0,119240,2
57,2019-05-05,2019-05-06,29,34,5,32,26,0,0,143,2231.2,5519,21.7,54506,5.4,733156.3,1456851,0,0,60168,0
58,2019-05-06,2019-05-07,29,32,25,16,14,1,495476.2,338,337.6,9952,22.9,101034,5.5,1393172.8,2783574,0,0,111325,1
59,2019-05-07,2019-05-08,22,25,3,11,12,2,267767.6,342,360.7,12478,19.8,121791,4.9,1502734.9,3008625,0,0,134613,2
60,2019-05-08,2019-05-09,6,22,21,7,15,0,0,336,1483.8,9545,19.6,92562,4.9,1139192.6,2276535,0,0,102443,0
61,2019-05-09,2019-05-10,19,34,13,18,8,1,477869.7,353,311.9,12065,18.2,111846,4.8,1344414.2,2684661,0,0,124265,1
62,2019-05-10,2019-05-11,19,5,9,26,31,3,178069.4,492,250.1,13648,18,125543,4.7,1492973.5,3001170,0,0,139686,3
63,2019-05-11,2019-05-12,36,7,6,28,11,1,435513.9,321,312.5,10837,18.6,104658,4.7,1229287.2,2446707,0,0,115817,1
64,2019-05-12,2019-05-13,36,33,6,1,17,0,0,158,1786.3,5245,20.1,52595,4.8,640115.9,1288836,0,0,57998,0
65,2019-05-13,2019-05-14,8,16,28,24,32,5,86044.4,448,221.2,10256,19.3,93212,5.2,1211962.8,2416977,0,0,103921,5
66,2019-05-14,2019-05-15,6,20,22,4,25,2,235522,356,304.8,10674,20.3,107383,4.9,1322411.7,2646315,0,0,118415,2
67,2019-05-15,2019-05-16,7,6,32,17,13,0,0,266,2212.5,10280,21.5,104351,5.1,1341735.1,2687358,0,0,114897,0
68,2019-05-16,2019-05-17,34,18,33,14,5,1,490960.1,563,200.9,12324,18.3,115025,4.8,1381716,2758203,0,0,127913,1
69,2019-05-17,2019-05-18,26,20,10,29,15,2,266733.8,402,305.6,12832,19.2,115425,5.1,1491360.7,2997009,0,0,128661,2
70,2019-05-18,2019-05-19,21,33,31,7,15,3,145813.9,326,309.1,10143,19.9,97819,5.1,1238930.9,2457537,0,0,108291,3
71,2019-05-19,2019-05-20,12,33,21,1,34,1,226532.3,132,395.3,4340,23.9,47446,5.2,629157.1,1272654,0,0,51919,1
72,2019-05-20,2019-05-21,22,28,31,25,11,2,225000,368,267.1,10131,19.4,93911,5.1,1223780.3,2397648,0,0,104412,2
73,2019-05-21,2019-05-22,26,34,2,12,28,4,116893.3,295,365.1,9015,23.9,94895,5.5,1312658.7,2626815,0,0,104209,4
74,2019-05-22,2019-05-23,25,14,15,11,6,1,445057.4,308,332.9,10138,20.2,99515,5,1249953.2,2500323,0,0,109962,1
75,2019-05-23,2019-05-24,1,17,36,29,16,2,225699.4,305,340.8,10295,20.2,98856,5.1,1267467.4,2535948,0,0,109458,2
76,2019-05-24,2019-05-25,31,11,20,2,9,1,544242.6,395,317.4,12406,20.2,121890,5,1529666.8,3057543,0,0,134692,1
77,2019-05-25,2019-05-26,6,10,34,21,31,2,235723.3,356,305,10183,21.4,100991,5.2,1323096,2648577,0,0,111532,2
78,2019-05-26,2019-05-27,15,30,9,27,16,0,0,210,1510.8,5791,20.5,56144,5.2,727932.3,1448625,0,0,62145,0
79,2019-05-27,2019-05-28,5,17,21,19,2,3,162693.8,462,243.3,12172,18.5,117050,4.6,1364098,2742030,0,0,129687,3
80,2019-05-28,2019-05-29,13,15,14,9,25,2,268703.4,357,346.8,11347,21.8,115105,5.3,1518635.5,3019140,0,0,126811,2
81,2019-05-29,2019-05-30,19,28,20,32,33,2,254448.4,322,364,10979,21.3,114719,4.9,1422080.6,2858970,0,0,126022,2
82,2019-05-30,2019-05-31,11,23,5,6,30,1,508940.4,394,297.5,12326,19,117362,4.9,1435423.2,2859216,0,0,130083,1
83,2019-05-31,2019-06-01,35,25,2,4,36,1,627482.5,457,316.3,14317,20.2,142616,4.9,1760053.4,3525183,0,0,157391,1
84,2019-06-01,2019-06-02,26,14,12,34,19,2,258568.7,422,282.3,12110,19.7,114413,5.1,1458341.3,2905266,0,0,126947,2
85,2019-06-02,2019-06-03,24,3,25,18,16,2,138809.6,233,274.4,6773,18.9,65385,4.7,776873.6,1559658,0,0,72393,2
86,2019-06-03,2019-06-04,6,3,22,10,23,1,509714.1,395,297.2,12279,19.1,117899,4.8,1427552.2,2863563,0,0,130574,1
87,2019-06-04,2019-06-05,16,35,33,29,22,2,288135.5,503,263.9,12643,21,124191,5.2,1620308.9,3237477,0,0,137339,2
88,2019-06-05,2019-06-06,20,6,28,36,9,1,520758.3,433,277,12785,18.8,120573,4.8,1459807.7,2925609,0,0,133792,1
89,2019-06-06,2019-06-07,36,15,17,35,30,4,134241.5,440,281.1,12811,19.3,120264,5,1509222.3,3016662,0,0,133519,4
90,2019-06-07,2019-06-08,6,15,24,28,23,2,288930,374,355.9,11710,22.7,122850,5.3,1627888.6,3246405,0,0,134936,2
91,2019-06-08,2019-06-09,28,36,18,5,31,1,467076.4,370,290.8,10719,20.1,103242,5,1306334.3,2624025,0,0,114332,1
92,2019-06-09,2019-06-10,34,32,35,13,22,1,249754.5,151,380.9,5397,21.3,54659,5.2,706453.3,1403115,0,0,60208,1
93,2019-06-10,2019-06-11,22,25,7,35,28,5,91961.3,349,303.5,10839,19.6,101615,5,1286247.4,2583183,0,0,112808,5
94,2019-06-11,2019-06-12,13,4,30,14,18,1,506243.3,301,387.4,9801,23.7,105985,5.4,1427453.4,2844063,0,0,116088,1
95,2019-06-12,2019-06-13,33,20,34,17,6,5,94058.5,404,268.1,11906,18.2,110478,4.7,1314540.7,2642094,0,0,122793,5
96,2019-06-13,2019-06-14,34,27,3,18,19,2,230930.5,380,280,10824,19.7,106828,4.9,1304951,2594724,0,0,118034,2
97,2019-06-14,2019-06-15,32,1,2,18,4,1,526571.1,427,284,12574,19.3,113276,5.2,1479552.5,2958264,0,0,126278,1
98,2019-06-15,2019-06-16,28,33,15,21,13,1,460000,311,324.5,9888,20.4,95511,5.1,1249740.8,2461218,0,0,105711,1
99,2019-06-16,2019-06-17,8,33,20,29,14,4,59674.4,167,329.2,5144,21.4,51672,5.2,672450,1340997,0,0,56987,4
100,2019-06-17,2019-06-18,17,9,8,20,28,1,318176.3,238,308,7383,19.8,70476,5,890043.7,1787508,0,0,78098,1
101,2019-06-18,2019-06-19,3,25,10,12,32,0,0,324,1678.7,9974,20.4,97275,5.1,1243470.9,2483670,0,0,107573,0
102,2019-06-19,2019-06-20,30,8,17,4,18,1,441088.8,246,413.1,9621,21.2,98318,5,1238266.6,2478027,0,0,108186,1
103,2019-06-20,2019-06-21,28,19,23,33,26,2,219272.4,318,317.6,10646,18.9,98369,5,1232596,2463735,0,0,109335,2
104,2019-06-21,2019-06-22,27,26,14,7,35,1,490005.4,358,315.3,11211,20.2,105569,5.2,1378303.8,2752839,0,0,117139,1
105,2019-06-22,2019-06-23,25,35,33,11,2,1,420000,303,309.4,9131,20.5,90719,5,1154528.7,2286750,0,0,100154,1
106,2019-06-23,2019-06-24,15,7,14,24,23,1,224860.5,171,302.9,4844,21.4,50605,5,633343,1263261,0,0,55621,1
107,2019-06-24,2019-06-25,4,19,30,7,23,2,2e+05,328,276.5,9508,19.1,91306,4.8,1110563.6,2211789,0,0,101144,2
108,2019-06-25,2019-06-26,18,1,4,3,16,1,490697.9,417,271,12068,18.7,110615,5,1382451.5,2756730,0,0,123101,1
109,2019-06-26,2019-06-27,26,33,15,36,32,2,240243.1,318,348.1,11148,19.9,108138,4.9,1342903.4,2699361,0,0,119606,2
110,2019-06-27,2019-06-28,6,31,4,25,36,2,244092.8,316,355.8,10915,20.6,109777,5,1374352.4,2742615,0,0,121010,2
111,2019-06-28,2019-06-29,9,10,21,8,36,1,554773.1,350,365.1,12587,20.3,125744,4.9,1554219.8,3116703,0,0,138682,1
112,2019-06-29,2019-06-30,5,27,15,1,9,3,152853.4,403,262.1,11330,18.6,103398,5,1291914.5,2576181,0,0,115134,3
113,2019-06-30,2019-07-01,27,4,17,10,21,5,51499.6,207,286.5,5835,20.4,56079,5.1,721840.4,1446618,0,0,62126,5
114,2019-07-01,2019-07-02,13,33,2,26,10,0,0,323,1764.8,9483,22.5,98074,5.3,1303190.1,2602857,0,0,107880,0
115,2019-07-02,2019-07-03,13,14,8,28,35,1,531938.8,355,345.1,11363,21.6,111444,5.3,1490543.3,2988420,0,0,123163,1
116,2019-07-03,2019-07-04,24,9,7,1,26,2,254362.3,353,332,11567,20.2,114139,5,1430269,2858004,0,0,126061,2
117,2019-07-04,2019-07-05,1,5,3,35,18,4,125931.4,526,220.6,13900,16.7,115283,4.9,1416777.9,2829918,0,0,129713,4
118,2019-07-05,2019-07-06,27,2,24,33,20,2,268129.3,436,283.3,11954,20.7,116696,5.1,1502374.8,3012690,0,0,129088,2
119,2019-07-06,2019-07-07,24,2,16,11,12,0,0,255,2189.8,9374,21,95240,5.1,1240977,2400009,0,0,104869,0
120,2019-07-07,2019-07-08,2,6,13,25,9,2,118685.5,168,325.4,5501,19.8,52757,5,664743,1333545,0,0,58428,2
121,2019-07-08,2019-07-09,13,4,31,20,8,1,425000,370,264.4,10004,19.6,94813,5,1192971.4,2385732,0,0,105188,1
122,2019-07-09,2019-07-10,22,15,27,31,24,3,159539.4,295,373.7,9730,22.6,100482,5.3,1341312.3,2688867,0,0,110510,3
123,2019-07-10,2019-07-11,23,9,27,7,26,2,228083.2,303,346.7,10546,19.9,105947,4.8,1279627.5,2562732,0,0,116798,2
124,2019-07-11,2019-07-12,25,10,3,36,35,0,0,460,1200.9,11330,18.1,103646,4.8,1254987.8,2498154,0,0,115436,0
125,2019-07-12,2019-07-13,21,24,8,6,19,4,124968.7,480,239.9,12055,19.1,117129,4.8,1407496.5,2808285,0,0,129668,4
126,2019-07-13,2019-07-14,3,9,32,31,2,3,140000,126,459.8,5247,22.1,55634,5,872063.5,1412760,0,0,61010,3
127,2019-07-14,2019-07-15,33,26,11,23,27,0,0,181,1526.7,5625,18.4,50820,5,633932.7,1261785,0,0,56626,0
128,2019-07-15,2019-07-16,22,20,16,30,8,5,84000,353,273.2,9767,19.8,93139,5,1175521.2,2351844,0,0,103264,5
129,2019-07-16,2019-07-17,18,26,8,25,11,0,0,330,1729.5,10530,20.3,102969,5,1299339,2606157,0,0,113829,0
130,2019-07-17,2019-07-18,35,19,29,4,32,3,144489.5,338,295.4,9974,20,97497,5,1220278.7,2435217,0,0,107812,3
131,2019-07-18,2019-07-19,29,4,20,28,36,0,0,291,1775,8820,21.9,91427,5.2,1185103.4,2358561,0,0,100538,0
132,2019-07-19,2019-07-20,10,28,31,11,6,1,475341.7,296,369.9,10070,21.7,102606,5.1,1326641.7,2670459,0,0,112973,1
133,2019-07-20,2019-07-21,9,13,22,35,31,2,191917.7,279,316.9,8498,20.9,83586,5.2,1084505.9,2156379,0,0,92365,2
134,2019-07-21,2019-07-22,20,9,29,35,14,0,0,134,1915.8,4306,22.3,44407,5.2,583657.4,1172286,0,0,48847,0
135,2019-07-22,2019-07-23,6,24,28,9,15,4,93580.2,381,226.3,8870,19.4,83145,5,1048344.1,2102925,0,0,92400,4
136,2019-07-23,2019-07-24,2,34,17,6,26,1,408847.9,345,273,9369,20.1,88553,5.2,1151825.4,2296899,0,0,98268,1
137,2019-07-24,2019-07-25,28,18,5,29,14,2,197365.9,276,329.4,8340,21.8,83544,5.3,1110241.4,2217594,0,0,92162,2
138,2019-07-25,2019-07-26,16,5,2,21,13,0,0,322,1714.6,9835,21,97588,5.1,1256335,2521065,0,0,107745,0
139,2019-07-26,2019-07-27,19,36,13,27,35,1,520824.6,440,272.7,12586,19.1,119821,4.9,1468328.1,2925981,0,0,132848,1
140,2019-07-27,2019-07-28,31,18,3,35,19,1,408635.5,283,332.5,9312,20.2,93516,4.9,1149063.8,2295705,0,0,103112,1
141,2019-07-28,2019-07-29,3,2,12,35,10,1,232761,123,436,5035,21.3,50856,5,647914.5,1307646,0,0,56015,1
142,2019-07-29,2019-07-30,33,17,15,14,6,1,418731.8,291,331.4,9598,20.1,94537,5,1180774,2352426,0,0,104427,1
143,2019-07-30,2019-07-31,1,12,7,25,13,3,159660.1,394,280,11469,19.2,107877,4.9,1338102.4,2690901,0,0,119743,3
144,2019-07-31,2019-08-01,13,11,5,19,35,1,475943.6,435,252.1,12422,17.7,114075,4.7,1341629,2673840,0,0,126933,1
145,2019-08-01,2019-08-02,33,12,36,21,25,3,166938.7,390,295.7,11909,19.4,115075,4.9,1411041.2,2813574,0,0,127377,3
146,2019-08-02,2019-08-03,15,32,29,3,21,3,185065,428,298.8,11761,21.7,117997,5.2,1551879.5,3119073,0,0,130189,3
147,2019-08-03,2019-08-04,13,34,27,14,29,2,215745.4,251,396,8399,23.7,88116,5.5,1214581.1,2424105,0,0,96768,2
148,2019-08-04,2019-08-05,3,35,30,8,21,2,120954.2,181,307.9,5539,20.1,53747,5.1,683081.9,1359036,0,0,59469,2
149,2019-08-05,2019-08-06,36,15,23,10,20,3,144121.1,468,212.8,11165,17.8,99639,4.8,1208957.9,2429007,0,0,111275,3
150,2019-08-06,2019-08-07,15,28,24,10,13,4,125331.7,350,329.9,10710,21.6,107654,5.2,1407928.6,2816442,0,0,118718,4
151,2019-08-07,2019-08-08,7,26,16,9,15,0,0,337,1646.7,10886,19.1,104180,4.9,1273342.5,2533908,0,0,115403,0
152,2019-08-08,2019-08-09,21,29,6,7,3,1,465336.1,305,351.4,10743,19.9,104418,5,1308388.8,2614248,0,0,115467,1
153,2019-08-09,2019-08-10,14,16,15,27,17,1,405262.3,308,303.1,8641,21.7,86543,5.2,1136150.4,2276754,0,0,95493,1
154,2019-08-10,2019-08-11,28,13,3,32,22,3,122654.4,300,282.5,7924,21.3,79082,5.2,1032720.8,2067210,0,0,87309,3
155,2019-08-11,2019-08-12,26,5,14,20,34,1,202347.7,158,295,4428,21.1,43761,5.1,565569.6,1136784,0,0,48348,1
156,2019-08-12,2019-08-13,17,15,30,23,6,2,190998.2,302,291.3,8566,20.6,83912,5.1,1074379.8,2146047,0,0,92782,2
157,2019-08-13,2019-08-14,12,33,2,28,26,2,224495.7,317,326.3,9424,21.9,95648,5.3,1265748.5,2522424,0,0,105391,2
158,2019-08-14,2019-08-15,21,28,18,31,7,3,135175,353,264.6,10024,18.6,90434,5,1137545.2,2278230,0,0,100814,3
159,2019-08-15,2019-08-16,32,36,23,9,2,1,436411.5,268,375.1,9781,20.6,97272,5,1224786.9,2451750,0,0,107322,1
160,2019-08-16,2019-08-17,34,4,21,19,24,1,490226.4,546,206.8,13508,16.7,114669,4.8,1379134,2754081,0,0,128724,1
161,2019-08-17,2019-08-18,5,2,16,8,26,1,377033.4,309,281,9087,19.1,84664,4.9,1052277.7,2118165,0,0,94061,1
162,2019-08-18,2019-08-19,15,29,6,16,2,1,216011,130,382.8,4386,22.8,47637,5.1,608724.5,1213545,0,0,52154,1
163,2019-08-19,2019-08-20,11,2,20,9,18,1,371306.2,327,261.5,8948,19.1,87177,4.8,1046173.1,2085990,0,0,96453,1
164,2019-08-20,2019-08-21,35,1,2,31,22,0,0,280,1917,9038,22.2,92237,5.3,1226259.7,2450832,0,0,101555,0
165,2019-08-21,2019-08-22,26,13,32,21,6,0,0,294,1631,8615,20.9,82130,5.3,1094856.5,2189586,0,0,91039,0
166,2019-08-22,2019-08-23,23,7,18,32,29,6,67235.9,282,329.5,9210,20.2,89143,5,1128091.4,2266377,0,0,98641,6
167,2019-08-23,2019-08-24,29,23,20,7,35,2,243673.7,329,341.2,11685,19.2,107799,5.1,1373729.1,2737908,0,0,119815,2
168,2019-08-24,2019-08-25,26,27,23,16,33,1,385354.1,276,321.6,8138,21.8,83457,5.1,1077154.8,2164911,0,0,91872,1
169,2019-08-25,2019-08-26,12,17,18,15,16,3,75588.4,225,232.1,4895,21.3,48938,5.2,637728.8,1273962,0,0,54061,3
170,2019-08-26,2019-08-27,17,28,29,27,36,0,0,279,1825.3,9041,21.1,87305,5.3,1162740.3,2325399,0,0,96625,0
171,2019-08-27,2019-08-28,12,29,2,27,5,3,157510.8,269,404.6,9293,23.4,100015,5.3,1328905.5,2654676,0,0,109580,3
172,2019-08-28,2019-08-29,31,26,14,20,22,0,0,296,1828,9284,21.9,92097,5.3,1232521.7,2470608,0,0,101677,0
173,2019-08-29,2019-08-30,13,9,2,34,5,1,462228.3,354,300.7,11581,18.3,106499,4.9,1302453.5,2596788,0,0,118435,1
174,2019-08-30,2019-08-31,17,24,26,36,33,1,544912.3,360,348.7,12760,19.7,124525,4.9,1531988.8,3061305,0,0,137646,1
175,2019-08-31,2019-09-01,29,8,6,22,13,3,146924.6,287,353.7,9343,21.8,95508,5.1,1233053.9,2476257,0,0,105141,3
176,2019-09-01,2019-09-02,29,2,3,16,36,0,0,167,1904,5526,21.5,57043,5.1,727696.3,1451922,0,0,62736,0
177,2019-09-02,2019-09-03,24,33,14,26,17,6,73866.4,674,151.5,9929,20.5,95790,5.2,1246961.9,2489877,0,0,106399,6
178,2019-09-03,2019-09-04,30,1,18,10,4,3,166899.3,451,255.7,12085,19.1,110963,5,1401657.1,2812911,0,0,123502,3
179,2019-09-04,2019-09-05,24,5,20,36,23,1,462464.8,275,387.3,10704,19.9,106120,4.9,1301969.9,2598117,0,0,117100,1
180,2019-09-05,2019-09-06,12,22,9,29,1,4,117288.4,336,321.6,10378,20.9,102564,5.1,1317187.8,2635695,0,0,113282,4
181,2019-09-06,2019-09-07,10,6,27,25,26,2,248546.3,343,333.8,10556,21.7,108337,5.1,1393169.9,2792655,0,0,119238,2
182,2019-09-07,2019-09-08,14,4,29,2,25,2,201165.1,458,202.4,9443,19.6,87246,5.2,1133791.4,2260281,0,0,97149,2
183,2019-09-08,2019-09-09,12,10,19,27,15,2,114945.9,177,299.1,5411,19.5,51917,5,647932,1291527,0,0,57507,2
184,2019-09-09,2019-09-10,3,19,23,12,10,0,0,368,1372.6,10404,18.2,92917,4.9,1149762.9,2306412,0,0,103689,0
185,2019-09-10,2019-09-11,3,1,11,33,15,0,0,380,1459.6,11218,18.5,106296,4.8,1272401.8,2532759,0,0,117894,0
186,2019-09-11,2019-09-12,1,32,16,21,26,2,213990.6,253,389.7,8699,22.7,86653,5.5,1200634.1,2404389,0,0,95607,2
187,2019-09-12,2019-09-13,24,20,6,4,29,1,425623.1,299,327.9,9757,20.1,96307,4.9,1191685.2,2391141,0,0,106364,1
188,2019-09-13,2019-09-14,5,25,30,33,29,0,0,316,1920.4,10896,20.8,106032,5.2,1384849.6,2771079,0,0,117244,0
189,2019-09-14,2019-09-15,8,11,15,35,14,0,0,262,1837.2,9563,18.9,90075,4.9,1103454.6,2197869,0,0,99900,0
190,2019-09-15,2019-09-16,27,2,3,9,12,2,114514.7,201,262.5,6080,17.3,55434,4.6,641972.3,1286682,0,0,61717,2
191,2019-09-16,2019-09-17,12,23,21,11,27,0,0,267,1817.6,8977,20.3,87598,5,1105522.3,2215953,0,0,96842,0
192,2019-09-17,2019-09-18,20,12,34,36,27,2,210412,257,377.1,8958,21.6,92307,5.1,1181997.2,2364180,0,0,101524,2
193,2019-09-18,2019-09-19,12,15,25,23,10,1,386376.3,305,291.8,9369,19,85610,5.1,1089997.3,2170653,0,0,95285,1
194,2019-09-19,2019-09-20,10,15,12,23,16,3,131487.9,1259,72.2,10736,16.9,88214,5,1107871.9,2216088,0,0,100212,3
195,2019-09-20,2019-09-21,23,7,31,34,26,1,440700,281,361.1,9155,22.2,92939,5.3,1237986.8,2475843,0,0,102376,1
