prov,head_sex,head_popgrp,head_age,hholdsz,mobphon_hh,wat_mun_source,lab_salary_hh,totalgrnt_hh,geotype,metro,quarter
Western Cape,Male,African/Black,34,1,1,Yes,5000,0,Urban,Non-metro,2
Western Cape,Male,African/Black,28,1,1,No,4160,0,Urban,Non-metro,2
Western Cape,Female,African/Black,29,2,2,Yes,8800,0,Urban,Non-metro,2
Western Cape,Male,African/Black,33,1,1,Yes,4500,0,Urban,Non-metro,2
Western Cape,Male,African/Black,26,1,0,No,4400,0,Urban,Non-metro,2
Western Cape,Female,Coloured,56,2,2,Yes,5994,0,Urban,Non-metro,3
Western Cape,Female,Coloured,44,10,2,Yes,5257,2400,Urban,Non-metro,3
Western Cape,Female,Coloured,60,5,4,No,34935,1990,Urban,Non-metro,3
Western Cape,Female,Coloured,58,3,0,Yes,0,480,Urban,Non-metro,3
Western Cape,Male,Coloured,55,3,2,No,6958,2470,Urban,Non-metro,3
Western Cape,Female,African/Black,29,2,1,Yes,0,480,Urban,Non-metro,3
Western Cape,Male,Coloured,58,1,1,Yes,2008,1990,Urban,Non-metro,3
Western Cape,Female,Coloured,75,3,2,Yes,21583,0,Urban,Non-metro,3
Western Cape,Male,Coloured,34,3,2,Yes,31058,0,Urban,Non-metro,3
Western Cape,Female,Coloured,37,4,2,Yes,12183,480,Urban,Non-metro,3
Western Cape,Male,Coloured,58,5,3,No,46779,0,Urban,Non-metro,3
Western Cape,Male,Coloured,68,2,2,Yes,0,0,Urban,Non-metro,3
Western Cape,Male,White,71,2,2,Yes,0,1990,Urban,Non-metro,4
Western Cape,Male,Coloured,48,3,3,Yes,45000,0,Urban,Non-metro,4
Western Cape,Male,Coloured,59,2,2,No,20000,0,Urban,Non-metro,4
Western Cape,Male,White,79,2,2,No,0,0,Urban,Non-metro,4
Western Cape,Male,White,73,2,2,No,0,0,Urban,Non-metro,4
Western Cape,Male,White,57,1,1,Yes,0,0,Urban,Non-metro,4
Western Cape,Male,White,62,2,2,No,0,0,Urban,Non-metro,4
Western Cape,Female,White,73,2,1,Yes,0,4000,Urban,Non-metro,4
Western Cape,Female,Coloured,39,4,2,Yes,3700,960,Urban,Non-metro,2
Western Cape,Male,Coloured,62,3,2,Yes,40000,0,Urban,Non-metro,2
Western Cape,Female,African/Black,38,3,1,Yes,4000,0,Urban,Non-metro,2
Western Cape,Male,Coloured,32,4,2,Yes,15000,0,Urban,Non-metro,1
Western Cape,Male,Coloured,49,5,4,Yes,86000,0,Urban,Non-metro,1
Western Cape,Male,African/Black,38,1,1,Yes,6400,0,Urban,Non-metro,1
Western Cape,Male,African/Black,38,5,3,Yes,10400,0,Urban,Non-metro,1
Western Cape,Male,African/Black,55,2,1,Yes,4800,480,Urban,Non-metro,1
Western Cape,Male,African/Black,29,2,2,Yes,11000,0,Urban,Non-metro,1
Western Cape,Female,Coloured,57,5,4,Yes,15657,0,Urban,Non-metro,1
Western Cape,Male,Coloured,61,6,3,No,17281,480,Farms,Non-metro,4
Western Cape,Female,African/Black,42,4,3,Yes,5257,480,Urban,Non-metro,4
Western Cape,Male,Coloured,42,4,4,No,9475,0,Urban,Non-metro,4
Western Cape,Male,Coloured,47,5,4,Yes,20362,0,Urban,Non-metro,4
Western Cape,Male,Coloured,38,1,1,Yes,13352,0,Urban,Non-metro,4
Western Cape,Female,Coloured,46,3,1,Yes,10514,0,Urban,Non-metro,4
Western Cape,Male,African/Black,47,4,4,Yes,19141,0,Urban,Non-metro,4
Western Cape,Female,Coloured,43,7,1,Yes,11194,1990,Urban,Non-metro,4
Western Cape,Male,Coloured,56,1,0,Yes,1249,0,Urban,Non-metro,4
Western Cape,Female,Coloured,37,4,3,Yes,2008,1310,Urban,Non-metro,4
Western Cape,Male,Coloured,63,1,1,Yes,1249,1990,Urban,Non-metro,4
Western Cape,Male,Coloured,70,2,1,Yes,0,1990,Urban,Non-metro,4
Western Cape,Male,Coloured,54,2,0,No,0,3980,Urban,Non-metro,4
Western Cape,Female,Coloured,45,3,2,Yes,29785,0,Urban,Non-metro,4
Western Cape,Male,Coloured,42,2,2,Yes,43166,0,Urban,Non-metro,4
Western Cape,Male,White,82,2,2,Yes,0,4020,Urban,Non-metro,4
Western Cape,Female,White,71,6,5,Yes,105008,0,Urban,Non-metro,4
Western Cape,Male,White,32,2,2,No,14000,0,Urban,Non-metro,4
Western Cape,Male,White,37,4,2,No,26000,0,Urban,Non-metro,4
Western Cape,Female,African/Black,39,4,3,Yes,12000,0,Urban,Non-metro,2
Western Cape,Male,African/Black,46,1,1,Yes,0,0,Urban,Non-metro,2
Western Cape,Female,African/Black,43,4,3,Yes,0,960,Urban,Non-metro,2
Western Cape,Male,African/Black,44,3,2,Yes,3000,0,Urban,Non-metro,2
Western Cape,Female,Coloured,29,6,1,Yes,5000,1920,Urban,Non-metro,2
Western Cape,Female,African/Black,46,1,1,Yes,4500,0,Urban,Non-metro,2
Western Cape,Male,Coloured,31,5,1,Yes,8000,0,Urban,Non-metro,2
Western Cape,Female,African/Black,27,2,1,Yes,2500,480,Urban,Non-metro,2
Western Cape,Male,Coloured,58,3,3,Yes,18952,0,Urban,Non-metro,3
Western Cape,Male,Coloured,53,4,3,No,5000,0,Urban,Non-metro,3
Western Cape,Female,White,69,1,1,Yes,0,0,Urban,Non-metro,3
Western Cape,Male,White,64,2,2,No,0,1990,Urban,Non-metro,3
Western Cape,Male,African/Black,29,3,1,Yes,0,480,Urban,Non-metro,4
Western Cape,Male,Coloured,54,4,4,Yes,24580,480,Urban,Non-metro,4
Western Cape,Female,Coloured,66,2,2,Yes,0,1990,Urban,Non-metro,4
Western Cape,Female,Coloured,62,4,1,Yes,11963,2470,Urban,Non-metro,4
Western Cape,Male,Coloured,62,4,4,Yes,6000,1990,Urban,Non-metro,3
Western Cape,Female,Coloured,64,3,3,Yes,2000,0,Urban,Non-metro,3
Western Cape,Male,White,68,2,2,No,34000,0,Urban,Non-metro,3
Western Cape,Male,Coloured,37,4,3,Yes,21583,0,Urban,Non-metro,2
Western Cape,Female,Coloured,85,4,2,Yes,2008,2490,Urban,Non-metro,2
Western Cape,Male,Coloured,63,3,3,No,13404,1990,Urban,Non-metro,2
Western Cape,Female,Coloured,50,3,2,Yes,0,480,Urban,Non-metro,2
Western Cape,Female,Coloured,24,2,1,Yes,0,480,Urban,Non-metro,2
Western Cape,Male,Coloured,58,3,2,Yes,5257,0,Urban,Non-metro,2
Western Cape,Male,Coloured,35,3,1,No,21583,0,Urban,Non-metro,1
Western Cape,Male,Coloured,52,2,2,Yes,16433,0,Urban,Non-metro,1
Western Cape,Male,Coloured,60,4,4,Yes,3257,3980,Urban,Non-metro,1
Western Cape,Male,Coloured,59,6,5,Yes,5257,4480,Urban,Non-metro,1
Western Cape,Male,Coloured,38,4,2,Yes,43166,0,Urban,Non-metro,1
Western Cape,Female,Coloured,42,5,4,Yes,12215,0,Urban,Non-metro,1
Western Cape,Female,Coloured,71,8,4,Yes,8254,2950,Urban,Non-metro,1
Western Cape,Male,Coloured,65,3,3,Yes,10000,1990,Urban,Non-metro,1
Western Cape,Male,White,56,2,2,No,77319,0,Farms,Non-metro,2
Western Cape,Male,Coloured,45,7,4,No,10855,3430,Farms,Non-metro,2
Western Cape,Male,White,55,2,2,No,43166,0,Farms,Non-metro,2
Western Cape,Male,White,72,2,0,Yes,0,0,Urban,Non-metro,2
Western Cape,Male,Coloured,64,2,2,Yes,21583,0,Urban,Non-metro,2
Western Cape,Female,White,36,3,1,Yes,21583,0,Urban,Non-metro,2
Western Cape,Male,African/Black,33,1,1,Yes,44287,0,Urban,Non-metro,2
Western Cape,Female,Coloured,51,2,2,Yes,21583,0,Urban,Non-metro,2
Western Cape,Male,White,43,4,2,Yes,52500,0,Urban,Non-metro,1
Western Cape,Male,White,71,2,2,Yes,0,0,Urban,Non-metro,1
Western Cape,Male,White,62,2,2,Yes,13352,0,Urban,Non-metro,1
Western Cape,Male,White,56,1,1,Yes,21583,0,Urban,Non-metro,1
Western Cape,Female,White,66,1,1,Yes,0,0,Urban,Non-metro,1
Western Cape,Female,Coloured,61,8,4,Yes,23500,0,Urban,Non-metro,2
Western Cape,Female,Coloured,33,4,2,Yes,10000,0,Urban,Non-metro,2
Western Cape,Male,Coloured,39,5,4,Yes,82000,0,Urban,Non-metro,2
Western Cape,Female,Coloured,57,3,1,Yes,0,0,Urban,Non-metro,2
Western Cape,Female,Coloured,55,6,5,Yes,31000,480,Urban,Non-metro,2
Western Cape,Female,African/Black,68,3,3,Yes,400,1990,Urban,Non-metro,2
Western Cape,Male,Coloured,58,6,5,Yes,26704,0,Urban,Non-metro,2
Western Cape,Female,African/Black,39,3,2,Yes,3929,0,Urban,Non-metro,1
Western Cape,Male,African/Black,27,3,0,Yes,3200,0,Urban,Non-metro,1
Western Cape,Male,African/Black,51,2,2,Yes,25000,0,Urban,Non-metro,1
Western Cape,Female,African/Black,54,2,0,Yes,5257,480,Urban,Non-metro,1
Western Cape,Female,African/Black,29,2,2,No,9186,0,Urban,Non-metro,1
Western Cape,Male,White,60,2,2,Yes,21583,0,Urban,Non-metro,4
Western Cape,Male,White,78,2,2,Yes,0,0,Urban,Non-metro,4
Western Cape,Male,Coloured,60,4,2,Yes,34935,0,Urban,Non-metro,4
Western Cape,Female,White,60,1,1,Yes,0,0,Urban,Non-metro,4
Western Cape,Female,White,39,1,1,Yes,13352,0,Urban,Non-metro,4
Western Cape,Male,White,35,1,0,Yes,20000,0,Urban,Non-metro,4
Western Cape,Female,Coloured,64,3,3,Yes,0,3980,Urban,Non-metro,4
Western Cape,Male,African/Black,43,5,2,Yes,13352,0,Urban,Non-metro,3
Western Cape,Female,Coloured,67,1,1,Yes,0,1990,Urban,Non-metro,3
Western Cape,Female,Coloured,53,1,1,Yes,6958,0,Urban,Non-metro,3
Western Cape,Male,Coloured,50,5,4,Yes,24207,2010,Urban,Non-metro,3
Western Cape,Male,Coloured,57,3,3,No,28541,0,Urban,Non-metro,3
Western Cape,Female,Coloured,61,2,2,Yes,6958,0,Urban,Non-metro,3
Western Cape,Female,Coloured,74,2,2,Yes,0,0,Urban,Non-metro,3
Western Cape,Male,African/Black,33,1,0,Yes,0,350,Urban,Non-metro,4
Western Cape,Male,African/Black,43,2,0,Yes,4560,0,Urban,Non-metro,4
Western Cape,Female,African/Black,43,3,2,Yes,2400,480,Urban,Non-metro,4
Western Cape,Female,African/Black,43,5,3,Yes,4400,480,Urban,Non-metro,4
Western Cape,Male,African/Black,44,2,2,Yes,4800,0,Urban,Non-metro,4
Western Cape,Male,White,30,1,1,No,25000,0,Farms,Non-metro,3
Western Cape,Male,Coloured,48,7,3,No,15475,480,Farms,Non-metro,3
Western Cape,Male,African/Black,31,1,1,No,4400,0,Farms,Non-metro,3
Western Cape,Male,African/Black,55,2,1,No,7600,0,Farms,Non-metro,3
Western Cape,Male,African/Black,38,1,1,No,3929,0,Farms,Non-metro,3
Western Cape,Male,African/Black,20,1,1,No,1249,0,Farms,Non-metro,3
Western Cape,Female,African/Black,28,2,2,Yes,10514,0,Farms,Non-metro,4
Western Cape,Male,African/Black,56,2,2,Yes,7858,0,Farms,Non-metro,4
Western Cape,Female,African/Black,47,4,3,No,20758,0,Farms,Non-metro,1
Western Cape,Female,Coloured,71,3,0,No,0,2950,Farms,Non-metro,1
Western Cape,Male,White,40,2,2,No,43166,0,Farms,Non-metro,3
Western Cape,Male,Coloured,56,8,5,Yes,8000,1660,Farms,Non-metro,3
Western Cape,Female,Coloured,31,3,2,No,5937,480,Farms,Non-metro,3
Western Cape,Male,Coloured,30,4,2,No,8800,960,Farms,Non-metro,3
Western Cape,Female,Coloured,55,4,0,Yes,0,2140,Urban,Non-metro,2
Western Cape,Male,Coloured,61,7,6,Yes,21401,2950,Urban,Non-metro,2
Western Cape,Male,Coloured,64,4,4,Yes,0,2820,Urban,Non-metro,2
Western Cape,Female,Coloured,49,4,3,Yes,7200,350,Urban,Non-metro,2
Western Cape,Male,Coloured,32,4,2,Yes,3997,960,Urban,Non-metro,2
Western Cape,Male,Coloured,30,3,2,Yes,43000,0,Urban,Non-metro,4
Western Cape,Male,African/Black,61,2,2,Yes,6958,0,Urban,Non-metro,4
Western Cape,Female,African/Black,75,9,5,Yes,9475,3930,Urban,Non-metro,4
Western Cape,Female,African/Black,49,6,6,No,38684,480,Urban,Non-metro,4
Western Cape,Male,African/Black,29,1,1,Yes,5257,0,Urban,Non-metro,4
Western Cape,Female,Coloured,30,8,2,No,20386,0,Farms,Non-metro,1
Western Cape,Female,Coloured,49,5,0,No,8729,4460,Farms,Non-metro,1
Western Cape,Female,Coloured,68,7,2,No,3400,3910,Farms,Non-metro,1
Western Cape,Male,Coloured,34,4,0,No,10000,960,Farms,Non-metro,1
Western Cape,Male,Coloured,68,1,0,No,0,1990,Farms,Non-metro,1
Western Cape,Male,Coloured,36,6,2,No,3000,960,Farms,Non-metro,1
Western Cape,Male,White,46,4,2,Yes,250000,0,Urban,Non-metro,4
Western Cape,Female,White,77,1,1,Yes,0,0,Urban,Non-metro,4
Western Cape,Male,White,61,2,2,Yes,20000,0,Urban,Non-metro,4
Western Cape,Female,White,45,4,3,Yes,25000,0,Urban,Non-metro,4
Western Cape,Male,White,82,2,2,Yes,0,0,Urban,Non-metro,4
Western Cape,Male,White,63,2,2,Yes,30000,0,Urban,Non-metro,4
Western Cape,Male,White,45,4,2,Yes,27500,0,Urban,Non-metro,4
Western Cape,Male,White,51,4,3,Yes,250000,0,Urban,Non-metro,4
Western Cape,Male,White,48,2,2,Yes,250000,0,Urban,Non-metro,4
Western Cape,Male,Coloured,46,6,4,Yes,12000,1990,Urban,Non-metro,3
Western Cape,Male,Coloured,77,1,1,Yes,0,2010,Urban,Non-metro,3
Western Cape,Male,Coloured,67,2,2,Yes,0,3980,Urban,Non-metro,3
Western Cape,Male,White,34,4,2,Yes,52000,0,Urban,Non-metro,4
Western Cape,Male,White,40,4,2,Yes,57352,0,Urban,Non-metro,4
Western Cape,Male,White,50,4,4,Yes,294000,0,Urban,Non-metro,4
Western Cape,Male,Coloured,60,6,4,Yes,3200,3980,Urban,Non-metro,1
Western Cape,Male,Coloured,64,2,2,Yes,3900,0,Urban,Non-metro,1
Western Cape,Female,Coloured,60,3,3,Yes,0,1990,Urban,Non-metro,1
Western Cape,Male,Coloured,34,4,2,Yes,20000,0,Urban,Non-metro,1
Western Cape,Female,Coloured,66,2,2,Yes,5000,1990,Urban,Non-metro,4
Western Cape,Male,Coloured,51,4,4,Yes,60000,0,Urban,Non-metro,4
Western Cape,Male,Coloured,43,5,4,Yes,30000,0,Urban,Non-metro,4
Western Cape,Female,Coloured,73,3,2,Yes,1000,1990,Urban,Non-metro,4
Western Cape,Male,Coloured,69,1,1,Yes,0,1990,Urban,Non-metro,4
Western Cape,Female,Coloured,72,2,2,Yes,0,3980,Urban,Non-metro,1
Western Cape,Male,Coloured,52,5,4,Yes,22929,0,Urban,Non-metro,1
Western Cape,Male,Coloured,53,3,3,Yes,9475,0,Urban,Non-metro,1
Western Cape,Male,Coloured,61,2,2,Yes,80000,0,Urban,Non-metro,1
Western Cape,Male,Coloured,78,2,1,Yes,0,2010,Urban,Non-metro,1
Western Cape,Female,Coloured,57,5,4,Yes,15500,1990,Urban,Non-metro,4
Western Cape,Female,Coloured,69,3,3,Yes,10800,1990,Urban,Non-metro,4
Western Cape,Female,Coloured,71,2,2,Yes,8000,1990,Urban,Non-metro,4
Western Cape,Female,Coloured,40,5,1,Yes,4400,1440,Urban,Non-metro,4
Western Cape,Female,Coloured,60,6,2,Yes,4000,5420,Urban,Non-metro,4
Western Cape,Male,Coloured,41,6,2,Yes,8000,1440,Urban,Non-metro,4
Western Cape,Male,Coloured,47,4,4,Yes,0,0,Urban,Non-metro,1
Western Cape,Female,Coloured,75,8,7,Yes,72252,2010,Urban,Non-metro,1
Western Cape,Male,Coloured,25,1,1,Yes,3200,0,Urban,Non-metro,1
Western Cape,Male,Coloured,53,5,1,Yes,9358,2470,Urban,Non-metro,1
Western Cape,Female,Coloured,52,3,3,Yes,1400,1990,Urban,Non-metro,1
Western Cape,Female,Coloured,32,3,1,Yes,0,960,Urban,Non-metro,1
Western Cape,Female,African/Black,72,4,2,Yes,2008,1990,Urban,Non-metro,4
Western Cape,Female,African/Black,48,3,3,Yes,33427,0,Urban,Non-metro,4
Western Cape,Male,African/Black,42,1,0,Yes,0,0,Urban,Non-metro,4
Western Cape,Female,African/Black,43,4,3,Yes,4000,960,Urban,Non-metro,4
Western Cape,Male,African/Black,37,1,1,Yes,2500,0,Urban,Non-metro,4
Western Cape,Female,African/Black,28,1,1,Yes,4000,0,Urban,Non-metro,4
Western Cape,Male,African/Black,34,6,3,Yes,4500,1920,Urban,Non-metro,4
Western Cape,Male,African/Black,44,1,1,Yes,5257,0,Urban,Non-metro,4
Western Cape,Male,Coloured,60,5,4,Yes,66200,0,Urban,Non-metro,4
Western Cape,Male,Coloured,60,6,4,Yes,9800,4940,Urban,Non-metro,4
Western Cape,Female,Coloured,55,2,2,Yes,25983,0,Urban,Non-metro,4
Western Cape,Female,Coloured,51,4,3,Yes,20000,0,Urban,Non-metro,4
Western Cape,Male,Coloured,55,3,3,Yes,50000,0,Urban,Non-metro,4
Western Cape,Male,Coloured,60,4,4,Yes,14000,480,Urban,Non-metro,3
Western Cape,Male,Coloured,59,1,1,Yes,20000,0,Urban,Non-metro,3
Western Cape,Male,White,55,3,3,Yes,,0,Urban,Non-metro,3
Western Cape,Male,White,42,5,3,Yes,26000,0,Urban,Non-metro,3
Western Cape,Male,Coloured,42,5,5,Yes,9400,2470,Urban,Non-metro,3
Western Cape,Female,Coloured,32,6,4,Yes,3500,2950,Urban,Non-metro,3
Western Cape,Male,White,36,5,2,Yes,16000,1440,Urban,Non-metro,3
Western Cape,Male,White,82,1,1,Yes,0,0,Urban,Non-metro,3
Western Cape,Male,White,48,4,4,Yes,63000,0,Urban,Non-metro,3
Western Cape,Male,White,51,3,3,Yes,0,0,Urban,Non-metro,3
Western Cape,Female,White,50,2,2,Yes,46583,0,Urban,Non-metro,3
Western Cape,Male,White,40,4,2,Yes,32000,0,Urban,Non-metro,3
Western Cape,Male,White,37,3,2,Yes,75000,0,Urban,Non-metro,3
Western Cape,Male,Coloured,58,1,0,No,0,0,Farms,Non-metro,4
Western Cape,Male,Coloured,30,3,2,No,10000,0,Farms,Non-metro,4
Western Cape,Female,Coloured,42,3,0,No,10514,0,Farms,Non-metro,4
Western Cape,Female,Coloured,32,1,0,Yes,5000,0,Farms,Non-metro,2
Western Cape,Male,Coloured,50,6,0,No,5600,960,Farms,Non-metro,2
Western Cape,Female,Coloured,62,4,3,Yes,0,1990,Farms,Non-metro,2
Western Cape,Male,African/Black,35,4,2,Yes,5600,960,Urban,Non-metro,4
Western Cape,Female,African/Black,34,3,1,Yes,3929,960,Urban,Non-metro,4
Western Cape,Female,African/Black,47,1,1,Yes,2008,0,Urban,Non-metro,4
Western Cape,Male,African/Black,42,2,2,Yes,4000,0,Urban,Non-metro,4
Western Cape,Female,African/Black,21,1,1,Yes,0,0,Urban,Non-metro,4
Western Cape,Male,African/Black,47,1,0,Yes,0,0,Urban,Non-metro,4
Western Cape,Male,African/Black,33,3,2,Yes,13100,0,Urban,Non-metro,4
Western Cape,Male,African/Black,26,1,0,Yes,3600,0,Urban,Non-metro,4
Western Cape,Female,African/Black,41,3,1,Yes,2997,2470,Urban,Non-metro,2
Western Cape,Male,African/Black,30,1,1,Yes,5257,0,Urban,Non-metro,2
Western Cape,Male,African/Black,30,2,2,Yes,5000,0,Urban,Non-metro,2
Western Cape,Male,African/Black,31,1,1,Yes,3929,0,Urban,Non-metro,2
Western Cape,Female,African/Black,57,2,2,Yes,0,480,Urban,Non-metro,2
Western Cape,Male,African/Black,42,3,2,Yes,9368,0,Urban,Non-metro,2
Western Cape,Female,African/Black,36,2,1,Yes,3929,480,Urban,Non-metro,2
Western Cape,Female,African/Black,48,2,0,Yes,3929,1990,Urban,Non-metro,2
Western Cape,Female,African/Black,67,4,2,Yes,0,3300,Urban,Non-metro,2
Western Cape,Female,African/Black,32,2,1,Yes,10257,0,Urban,Non-metro,2
Western Cape,Male,African/Black,59,1,0,Yes,0,0,Urban,Non-metro,2
Western Cape,Female,African/Black,45,2,2,Yes,3929,0,Urban,Non-metro,2
Western Cape,Female,African/Black,33,4,2,Yes,4000,960,Urban,Non-metro,2
Western Cape,Female,African/Black,88,5,1,Yes,0,2010,Urban,Non-metro,2
Western Cape,Female,African/Black,34,1,1,Yes,2008,0,Urban,Non-metro,2
Western Cape,Female,African/Black,74,6,0,Yes,9186,3190,Urban,Non-metro,1
Western Cape,Female,African/Black,69,3,2,Yes,12600,1990,Urban,Non-metro,1
Western Cape,Female,African/Black,70,1,1,Yes,0,1990,Urban,Non-metro,1
Western Cape,Male,African/Black,41,1,0,Yes,0,0,Urban,Non-metro,1
Western Cape,Female,African/Black,54,4,2,Yes,3929,960,Urban,Non-metro,1
Western Cape,Female,African/Black,68,1,1,Yes,0,0,Urban,Non-metro,1
Western Cape,Male,African/Black,37,2,2,Yes,3500,350,Urban,Non-metro,4
Western Cape,Male,African/Black,45,1,1,Yes,0,0,Urban,Non-metro,4
Western Cape,Male,African/Black,43,2,2,Yes,1472,0,Urban,Non-metro,4
Western Cape,Male,African/Black,43,4,2,Yes,6926,960,Urban,Non-metro,4
Western Cape,Female,Coloured,51,2,2,Yes,0,1990,Urban,Non-metro,1
Western Cape,Female,Coloured,75,1,0,Yes,0,2010,Urban,Non-metro,1
Western Cape,Female,Coloured,31,2,2,Yes,5600,0,Urban,Non-metro,2
Western Cape,Male,African/Black,32,2,2,Yes,15000,0,Urban,Non-metro,2
Western Cape,Female,African/Black,23,1,1,Yes,0,0,Urban,Non-metro,2
Western Cape,Female,White,51,2,2,Yes,25000,0,Urban,Non-metro,2
Western Cape,Male,African/Black,40,6,3,Yes,0,0,Urban,Non-metro,2
Western Cape,Male,African/Black,26,1,1,Yes,0,0,Urban,Non-metro,2
Western Cape,Female,Coloured,58,4,4,Yes,31058,0,Urban,Non-metro,4
Western Cape,Female,Coloured,55,2,2,Yes,31058,0,Urban,Non-metro,4
Western Cape,Male,Coloured,67,7,7,Yes,11204,6450,Urban,Non-metro,4
Western Cape,Male,Coloured,54,1,1,Yes,1000,1990,Urban,Non-metro,4
Western Cape,Male,White,52,4,2,Yes,55010,0,Urban,Non-metro,4
Western Cape,Female,White,29,2,2,Yes,8000,0,Urban,Non-metro,2
Western Cape,Male,White,33,3,3,Yes,25500,0,Urban,Non-metro,2
Western Cape,Female,White,22,2,2,Yes,0,0,Urban,Non-metro,2
Western Cape,Female,White,55,2,2,Yes,8000,0,Urban,Non-metro,2
Western Cape,Male,White,37,3,2,Yes,75000,0,Urban,Non-metro,2
Western Cape,Female,White,24,2,2,Yes,16000,0,Urban,Non-metro,2
Western Cape,Female,White,23,1,1,Yes,,0,Urban,Non-metro,2
Western Cape,Male,Coloured,38,5,0,Yes,0,1310,Urban,Non-metro,3
Western Cape,Male,Coloured,40,5,2,Yes,10800,480,Urban,Non-metro,3
Western Cape,Female,Coloured,65,3,1,Yes,3929,1990,Urban,Non-metro,1
Western Cape,Female,Coloured,73,4,0,Yes,0,3430,Urban,Non-metro,1
Western Cape,Male,Coloured,51,6,4,Yes,8966,960,Urban,Non-metro,1
Western Cape,Female,Coloured,65,4,2,Yes,10887,3980,Urban,Non-metro,1
Western Cape,Male,Coloured,49,7,2,Yes,6000,0,Urban,Non-metro,1
Western Cape,Female,Coloured,33,4,2,Yes,21583,0,Urban,Non-metro,1
Western Cape,Female,Coloured,66,4,2,Yes,21583,0,Urban,Non-metro,2
Western Cape,Female,Coloured,67,3,3,Yes,34935,0,Urban,Non-metro,2
Western Cape,Male,Coloured,43,4,3,Yes,20310,0,Urban,Non-metro,2
Western Cape,Male,Coloured,55,5,5,Yes,31058,0,Urban,Non-metro,2
Western Cape,Male,Coloured,28,3,2,Yes,16852,0,Urban,Non-metro,2
Western Cape,Male,African/Black,36,2,2,Yes,18609,0,Urban,Non-metro,4
Western Cape,Male,African/Black,51,1,1,No,0,0,Urban,Non-metro,4
Western Cape,Male,African/Black,51,2,2,Yes,7297,0,Urban,Non-metro,4
Western Cape,Male,African/Black,47,2,1,Yes,0,480,Urban,Non-metro,4
Western Cape,Male,African/Black,29,1,1,No,4000,0,Urban,Non-metro,4
Western Cape,Female,African/Black,30,4,2,Yes,0,480,Urban,Non-metro,4
Western Cape,Female,African/Black,64,2,1,Yes,4000,1990,Urban,Non-metro,4
Western Cape,Male,White,66,2,2,Yes,21583,0,Urban,Non-metro,1
Western Cape,Female,Coloured,54,2,2,Yes,5257,0,Urban,Non-metro,1
Western Cape,Female,White,40,1,1,Yes,13352,0,Urban,Non-metro,1
Western Cape,Female,White,45,1,1,Yes,21583,0,Urban,Non-metro,1
Western Cape,Male,White,52,1,1,Yes,13352,0,Urban,Non-metro,1
Western Cape,Female,Coloured,54,5,5,Yes,19173,0,Urban,Non-metro,1
Western Cape,Male,White,48,2,2,No,34935,0,Urban,Non-metro,1
Western Cape,Female,White,65,1,0,Yes,0,0,Urban,Non-metro,2
Western Cape,Female,White,49,2,2,Yes,44287,0,Urban,Non-metro,2
Western Cape,Male,White,52,2,2,Yes,6958,1990,Urban,Non-metro,2
Western Cape,Male,Coloured,35,5,2,Yes,5600,1440,Urban,Non-metro,3
Western Cape,Male,Coloured,23,2,2,Yes,18609,0,Urban,Non-metro,3
